date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2017-05-17,765393,155,152190716,981875.587096774,2.85141326,29547786219.06942946831159507,10362505725.36110376890545892,559970892890.839,0.00149609349085694,2.706053214009294523128069629,0.0008981,1.624434840706180881,478.868108459782,866150.8066864893912925202158,1937.5,4.32899642005605,3504445.500354331875,1937.5,3504445.500354331875,23.07335226,52.61477110072353,1,1808.74606469901,298.80121396775286,51.75301966989386,16336061.09544538,320079,733185,708005.53446289,1280602224.244871590209864739,3.22187924568104,5827.56140656099591095006377,0.04483,81.0860860804566183,2362233.53474465,4272680609.869417795679457796,0.03486745449549126,0.028867328716957893,0.03232455212375394
2017-05-18,742869,142,138382674,974525.873239437,2.96696988,30947901332.49167245798854984,10430810763.33576712876240457,559970892890.838,0.00135066712504324,2.558497506934673598460516964,0.0008,1.515397811642312,394.377241839853,747048.0115570551046530283252,1775,3.96548842952963,3362288.89458137975,1775,3362288.89458137975,27.95385935,54.40472398104501,1,1894.24726455289,316.7887453591251,57.574053310880515,16337836.09543524,291987,688114,584457.26192764,1107106569.65450401152413288,2.5120522306033,4758.448066234286652149458537,0.04444444,84.1887588945850464316,1728578.30860936,3274354732.64874148583806905,0.03500234707749502,0.029438863741089345,0.03206112230134822
2017-05-19,805861,164,159296608,971320.780487805,3.05210147,32149470136.85822673047734398,10533552193.58469987665105974,559970892890.839,0.00138445483807453,2.723977952633373475211020787,0.00079407,1.5623688930553179387,438.05673976985,861896.5879703829828022219885,2050,4.57928528772938,4033468.3727673905,2050,4033468.3727673905,28.62916347,55.595712988584296,1,1967.54554769141,349.49436322855723,62.666099180343714,16339886.09543516,316411,759278,570742.70134938,1122962260.917340721350834826,2.28444838209926,4494.756243130243980862469357,0.04444444,87.4464600416380102604,1734531.39866356,3412769530.77144158351729202,0.034997892986850195,0.029675428120722658,0.03224878675572762
2017-05-20,854533,165,159591310,967220.060606061,3.14988555,33470233811.20100846873556467,10625857114.3425117264048607,559970892890.839,0.00109157918353818,2.235682622736244455367081318,0.00064762,1.3264019706233291384,386.957179509263,792533.8399801299554512106492,2062.5,4.60662628819122,4224242.7108653475,2062.5,4224242.7108653475,34.52381454,57.173232207163764,1,2048.11767799532,362.95942500326277,65.73171893057706,16341948.5954349,354493,764707,473352.92500263,969482493.6286794078041276916,2.07898168697828,4257.99914532874803573878165,0.03,61.4435303398596,1589811.8489041,3256121752.426911817226928812,0.03509236067517666,0.02998342469354307,0.03157397577467005
2017-05-21,778746,147,143585852,976774.503401361,3.12275546,33426678945.80987491484606625,10704225594.04604817678138984,559970892890.838,0.00108981519145419,2.228914542951640948440188819,0.00065497,1.3395593763462430933,349.421995759465,714645.7253327763625397447888,1837.5,4.10362382427005,3758096.331184972875,1837.5,3758096.331184972875,43.59304327,56.66814145929454,1,2045.22249316189,360.5545735083696,63.9672372137693,16343786.09543484,320625,708746,374917.30031926,766789295.6884819948638650014,1.78975191225922,3660.440868132062127711105126,0.02928648,59.8973676415358282472,1268479.50880607,2594322823.525120086613124672,0.03508859958433084,0.030139653092299726,0.029843242058546243
2017-05-22,781440,146,143150297,980481.48630137,3.12461059,33981601940.85975904774860602,10875467828.96591080829209535,559970892890.838,0.00124297697285987,2.584078898413022934491965401,0.00075583,1.5713278656270853526,412.278060219658,857102.7934983133362426184068,1825,4.0752529600196,3794071.8875533265,1825,3794071.8875533265,30.48918729,56.90823801811484,1,2078.94350002922,371.88800199129236,67.17806632028041,16345611.09543484,331686,731984,536111.73487763,1114546006.513237368798124349,2.68793074008066,5588.056140619418918935156885,0.04119708,85.6464016861837786776,1967522.2948472,4090367686.035160934655435184,0.03508042212770178,0.029913612085235637,0.029731883196415794
2017-05-23,872972,168,163422061,972750.363095238,3.32739524,36901498030.8538988557376404,11090205800.13207981948748109,585222207503.697,0.00127128933411985,2.86966662096017561043232625,0.00075526,1.7048396096604529558,468.743446829565,1058089.128146348117483451186,2100,4.68872978929788,4740305.564026893,2100,4740305.564026893,23.84847063,60.56878944131049,1,2257.28836382233,408.16358950580957,80.58285482961207,16347711.09543468,368715,824741,685482.57664012,1547331843.85269140217202988,2.38941116887334,5393.590027884902689442033682,0.03675376,82.9638347747185994608,1970645.35682777,4448314833.187828612520690104,0.03553142621327433,0.032086316212723724,0.027689445356325563
2017-05-24,811722,154,150459125,977007.305194805,3.49513899,39484489321.17492260285634588,11296972580.65641482447221661,595921917085.416,0.00140203255669651,3.385918756422161695995223731,0.00084145,2.032107830865551266,472.689668359321,1141548.965051062568728932717,1925,4.29749626194538,4648888.911303329,1925,4648888.911303329,27.34426421,63.76333117594286,1,2415.00722665108,441.87696869088427,92.08808962575911,16349636.09443461,337146,778975,597918.30456937,1443977026.48199001800664542,2.75748471783781,6659.345520958225396104901335,0.03834694,92.6081372199553656952,2148011.65807771,5187463677.188438349873695427,0.03582330458344439,0.03312656561650913,0.028401298491461432
2017-05-25,847501,163,159233378,976891.889570552,3.29706174,37929364613.17056624344281375,11503989788.83432645936809318,595921917085.417,0.00142520125542743,3.305898796968047184933578154,0.00084084,1.950413623238738658,499.581496869323,1158829.928894829986812523636,2037.5,4.54808185660653,4726187.809034929375,2037.5,4726187.809034929375,22.66003746,60.078103977896006,1,2319.60137866745,414.83826721578663,81.23801266663052,16351673.59443457,350534,801141,721608.40955094,1673843861.652386318150094903,3.14612786997754,7297.762544663989659866629073,0.0429419,99.608090442599771155,2520492.02788168,5846536782.794661752964667316,0.03597984584181175,0.03501126307209177,0.029173403168259622
2017-05-26,814316,153,146681672,958703.738562091,3.20703848,37276668052.73387101047941056,11623392820.4864159383372239,595921917085.416,0.00141573516222196,3.227053038274671743242291188,0.00090225,2.056605417084949425,471.571472389502,1074908.777676891629324716621,1912.5,4.26855917698422,4359388.04120251125,1912.5,4359388.04120251125,27.23442396,57.98152200801444,1,2279.4185836353,401.59538593975964,75.81520645171435,16353586.09443452,333093,768813,600474.82996556,1368733486.428744373478600268,2.6842687478158,6118.57206724279111649877774,0.03584773,81.711981943140652869,2063700.70881451,4704037746.733135054349188203,0.036004536479702046,0.03565169389969227,0.02817876371391934
2017-05-27,892105,168,166566779,991468.922619048,2.87538901,33435937257.82764868144185828,11628317836.52059459489675875,595921917085.417,0.00158198279051216,3.234048209358019081591597866,0.00089696,1.8336557763227270336,523.557204519597,1070308.254886213886658033862,2100,4.68644357426757,4293031.049631786,2100,4293031.049631786,32.95703767,51.37406948953779,1,2044.30049982466,333.27963875808615,51.89209869748959,16355686.09443448,330950,799733,496272.9435614,1014531026.572025302775944124,1.77472152398232,3628.064098526639095144940011,0.02818247,57.6134375072934857102,1419303.36853895,2901482585.706999101835380507,0.037013940533391826,0.042386607054989735,0.032255181547127136
2017-05-28,848084,165,161376246,978037.854545454,3.1100624,36407455222.71084145197753682,11706342361.3257317333129398,595921917085.417,0.00139445257748357,3.103634310176411732658056889,0.000791,1.7605293855025107,423.418552889744,942403.0401129498489671963088,2062.5,4.60217673388216,4590508.03741963125,2062.5,4590508.03741963125,41.32226112,55.5380091037771,1,2225.7008666277,319.22328833673623,65.11315851723974,16357748.59443447,303645,732657,395858.02301628,881061544.888862409145798956,2.0780926726037,4625.21266234672833539754249,0.0216,48.07513871915832,1522529.14323181,3388694433.556969098954067137,0.03748165668789808,0.044244415402224055,0.03355469626330117
2017-05-29,771791,151,147652158,977828.860927152,3.1715195,37377119026.09048337574003685,11785240187.61059392703759402,595921917085.416,0.00152176309272107,3.47679617797227470543404293,0.0008814,2.01374850390490959,497.488703220111,1136620.29931823474495617804,1887.5,4.21120308558927,4312401.067756429375,1887.5,4312401.067756429375,39.27079743,56.50715854645413,1,2284.71579748685,333.0806639778669,68.27650656007526,16359636.09443446,326916,766742,416585.27880781,951778967.4926673769621522985,2.38453120863326,5447.976121964820920531322631,0.03728284,85.180693523174630654,1828320.22796988,4177192107.707543779181496078,0.03750642155574542,0.04423922954523707,0.03354554601475759
2017-05-30,851137,179,175537858,980658.424581006,2.99605054,35460507433.23308490411224381,11835750771.96007349426068519,595921917085.417,0.0016931813038095,3.66957169440370706734723077,0.00091208,1.9767185850100185328,589.401491399827,1277388.915536642218729445975,2237.5,4.99140575366503,4849254.26931838925,2237.5,4849254.26931838925,31.18388881,53.02623524675156,1,2167.26447790766,306.2403578799898,56.82582470425802,16361873.59443444,348103,806926,524689.96705884,1137141927.521164196327306714,2.73643853445608,5930.586031704358500854565573,0.031840785,69.0074022791950519131,2208103.40085451,4785544064.219078101060874547,0.037756956492964844,0.04605388715362396,0.03439542206077958
